mod;unlocalised name;meta start;meta end;tier
minecraft;stained_glass;0;15;3
minecraft;glass;0;-1;3
BloodArsenal;blood_stained_glass;0;-1;3
Botany;stained;0;0;3
EnderIO;blockFusedQuartz;0;5;3
ExtraUtilities;decorativeBlock1;9;-1;3
ExtraUtilities;decorativeBlock2;0;11;3
ExtraUtilities;etherealglass;0;5;3
GalaxySpace;futureglasses;0;15;3
GalaxySpace;futureglass;0;-1;3
HardcoreEnderExpension;laboratory_glass;0;-1;3
IC2;blockAlloyGlass;0;-1;4
Natura;NetherGlass;0;1;3
Railcraft;glass;0;15;3
RandomThings;spectreGlass;0;-1;3
TConstruct;GlassBlock;0;-1;3
TConstruct;GlassBlock.StainedClear;0;15;3
Ztones;tile.glaxx;0;15;3
chisel;glass;0;15;3
chisel;stained_glass_white;0;15;3
chisel;stained_glass_yellow;0;15;3
chisel;stained_glass_lightgray;0;15;3
chisel;stained_glass_brown;0;15;3
chisel;glass2;0;-1;3
chisel;stained_glass_forestry;0;15;3
tectech;tile.quantumGlass;0;-1;5
witchery;shadedglass;0;15;3
