1|	n		613.9 s|6	6.14E2|6E-1	?-	100	-1.9130427 5		782.347|0				0.0|0		0.0|0	1008664.9158|5	8071.3171|5	1932
0		1																
1|	H		STABLE|				+2.792847351 28				-782.347|0			0.0|0	0.0|0	1007825.03224|9	7288.97061|9	1920
1		0	99.9885 %|70															
2|	H		STABLE|				+0.857438230 24	0.002860 15					2224.57|0	2224.57|0	1112.283|0	2014101.77811|12	13135.72176|11	1932
1		1	0.0115 %|70															
3|	H		12.32 y|2	3.89E8|6.31E5	?-	100	+2.978962467 26		18.592|0				6257.23|0		2827.265|0	3016049.28199|23	14949.80993|22	1934
1		2																
4|	H				n	100			22200|100			1620|100	-1600|100		1720|25	4026430|110	24620|100	1981
1		3
5|	H				n	100			21660|90			22400|90	-200|130		1336|18	5035310|100	32890|90	1987
1		4																
6|	H		1.6 MeV|4	2.85E-22|7.12E-23	n	100			24280|250			22570|250	-910|270		960|40	6044960|270	41880|250	1984
1		5																
3|	He		STABLE|				-2.127625306 25		-13740|2000#		-18.592|0#			5493.47|0	2572.680|0	3016029.32265|22	14931.21793|21	1934
2		1	0.000134 %|3															
4|	He		STABLE|						-22900|210	0.0|0	-22200|100	-34310|2000#	20577.62|0	19813.86|0	7073.915|0	4002603.25413|6	2424.91561|6	1908
2		2	99.999866 %|3															
5|	He		0.648 MeV	7.03E-22	n	?			-450|50	735|20	-21660|90	-22160|210	-735|20	20680|100	5512|4	5012057|21	11231|20	1937
2		3																
6|	He		806.7 ms|15	8.07E-1|1.5E-3	?-	100			3505.22|5		-24280|250	-2160|50	1710|20	22590|90	4878.519|9	6018885.89|6	17592.09|5	1936
2		4																
7|	He		150 keV|20	3E-21|4E-22	n	?			11166|8		-23060|1000	3915|8	-410|8	23090|250	4123.1|11	7027991|8	26073|8	1967
2		5																
8|	He		119.1 ms|12	1.19E-1|1.2E-3	?-	100			10663.88|10			8631.26|9	2535|8	24810|1000#	3924.520|11	8033934.39|9	31609.68|9	1965
2		6			?- n	16|1												
9|	He				n	100			15980|50			11920|50	-1250|50		3349|5	9043950|50	40940|50	1987
2		7																
10|	He		300 keV|200	1.5E-21|1E-21	n	100			16140|90#		#	16170|90#	-190|100#		2995|9#	10052820|100#	49200|90#	1994
2		8																
4|	Li				p	100					22900|210		11410|2010#	-3100|210	1150|50	4027190|230	25320|210	1965
3		1																
5|	Li		1.23 MeV	3.7E-22	p	?			-25460|2000#	1960|50	450|50#		21720|220	-1960|50	5266|10	5012540|50	11680|50	1941
3		2																
6|	Li		STABLE|				+0.82205667 26	-0.818E-3 17	-4288|5	-1473.76|0	-3505.22|5	-31120|2000#	5660|50	4433|20	5332.331|0	6015122.8874|15	14086.8789|14	1921
3		3	7.59 %|4															
7|	Li		STABLE|				+3.2564268 17	-0.0406 8	-861.89|7	-2467.62|0	-11166|8	-11539|5	7251.09|0	9973.96|5	5606.439|1	7016003.437|5	14907.105|4	1921
3		4	92.41 %|4															
8|	Li		839.9 ms|9	8.4E-1|9E-4	?- ?	100	+1.653560 18	+0.0327 6	16004.13|6	-6100|100	-10663.88|10	-2894.51|9	2032.62|5	12416|8	5159.712|6	8022486.25|5	20945.80|5	1935
3		5			?-	100												
9|	Li		178.3 ms|4	1.78E-1|4E-4	?-	100	3.4391 6	-0.0274 10	13606.45|20	-10360|90	-15980|50	11941.91|19	4062.22|19	13943.75|21	5037.768|21	9026790.19|20	24954.90|19	1951
3		6			?- n	50.8|2												
10|	Li				n	100			20445|13#	-11250|250#	-16140|90#	13633|13#	-26|13#	15170|50#	4531.4|13#	10035483|14#	33053|13#	1975
3		7																
11|	Li		8.75 ms|14	8.75E-3|1.4E-4	?-	100	3.6673 25		20551.1|7#	-10830|1000	#	20049.4|6#	396|13#	15760|90#	4155.38|6#	11043723.6|7#	40728.3|6#	1966
3		8			?- n													
5|	Be				p	100					25460|2000			-4530|2010#	20|400#	5039870|2150#	37140|2000#	
4		1																
6|	Be		92 keV|6	5E-21|3E-22	2p	100			-28940|2000#		4288|5#		26830|2000#	590|50	4487.2|9	6019726|6	18375|5	1958
4		2			?	100												
7|	Be		53.22 d|6	4.6E6|5.18E3	ec	100			-11908|25	-1587.13|7	861.89|7	-39620|2000#	10677|5	5606.85|7	5371.548|10	7016928.72|8	15769.00|7	1938
4		3																
8|	Be		5.57 eV|25	8.18E-17|3.67E-18	?	100			-17979.9|10	91.84|4	-16004.13|6	-30806|25	18898.64|8	17254.40|4	7062.435|4	8005305.10|4	4941.67|3	1932
4		4																
9|	Be		STABLE|				-1.1778 9	+0.05288 38	-1068.0|9	-2308|20	-13606.45|20	-19644.4|10	1664.54|8	16886.32|9	6462.668|9	9012183.07|8	11348.45|8	1921
4		5	100 %															
10|	Be		1.51 x 106|y|4	4.77E13|1.26E12	?-	100			556.88|8#	-7409.52|10#	-20445|13#	-7880.3|9#	6812.28|5#	19636.39|20#	6497.630|8#	10013534.69|9#	12607.49|8#	1935
4		6																
11|	Be		13.76 s|7	1.38E1|7E-2	?-	100	-1.6814 4		11509.46|24#	-8321|8#	-20551.1|7#	55.24|24#	501.64|25#	20164|13#	5952.540|22#	11021661.08|25#	20177.17|24#	1958
4		7			?- ?	3.1|4												
					?- p	0.00083|9												
12|	Be		21.3 ms|1	2.13E-2|1E-4	?-	100			11708.4|23#	-8956.8|19#	-23930|30#	8338.7|19#	3170.7|19#	22939.5|20#	5720.72|16#	12026922.1|20#	25077.8|19#	1966
4		8			?- n	? 1												
13|	Be		2.7 x 10-21|s|18	2.7E-21|1.8E-21	n	?			17097|10#	-9700|50#	-23320|70#	12218|10#	-510|10#	22640|30#	5241.4|8#	13036135|11#	33659|10#	1983
4		9																
14|	Be		4.35 ms|17	4.35E-3|1.7E-4	?-	100			16290|130#	-11670|160#	#	15320|130#	1780|130#	24320|150#	4994|9#	14042890|140#	39950|130#	1973
4		10			?- n	81|4												
					?- 2n	5|2												
					?- ?	0.004|LT												
15|	Be		0.58 MeV|20	7.86E-22|2.71E-22	n	? 100			20870|170#		#	18090|170#	-1800|100#		4541|11#	15053490|180#	49830|170#	
4		11																
16|	Be		0.8 MeV|2	5.7E-22|1.42E-22	n	? 100			20330|170#		#	20420|170#	450|140#		4285|10#	16061670|180#	57450|170#	2012
4		12																
7|	B		801 keV|20	6E-22	p	? 100				-3410|2000#	11908|25		27710|2000#	-2013|26	3559|4	7029712|27	27677|25	1967
5		2																
8|	B		770 ms|3	7.7E-1|3E-3	ec ?+	100	1.0355 3	0.0683 21	-12143|18	-4830|210	17979.9|10		12826|25	136.4|10	4717.15|12	8024607.3|11	22921.6|10	1950
5		3			?+ ?	100												
9|	B		0.54 keV|21	8.44E-19|3.28E-19	p	100			-16494.5|23	-1690|50	1068.0|9	-30719|18	18576.4|13	-185.8|9	6257.07|10	9013329.6|10	12416.5|9	1940
5		4																
